,R_fighter,B_fighter,gender,weight_class,year,R_age,B_age,R_Stance,B_Stance,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,R_wins,B_wins,R_losses,B_losses,R_draw,B_draw,R_current_win_streak,B_current_win_streak,R_current_lose_streak,B_current_lose_streak,R_longest_win_streak,B_longest_win_streak,Winner
1934,Donald Cerrone,John Makdessi,Men's,Lightweight,2015,32.0,30.0,Orthodox,Orthodox,155.0,155.0,185.42,172.72,14.0,6.0,3.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,7.0,3.0,Red
1935,Travis Browne,Andrei Arlovski,Men's,Heavyweight,2015,32.0,36.0,Orthodox,Orthodox,255.0,240.0,200.66,195.58,8.0,12.0,3.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,6.0,Blue
1936,Joseph Benavidez,John Moraga,Men's,Flyweight,2015,30.0,31.0,Southpaw,Orthodox,125.0,125.0,165.1,167.64,8.0,5.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,Red
1937,John Dodson,Zach Makovsky,Men's,Flyweight,2015,30.0,32.0,Orthodox,Southpaw,135.0,125.0,167.64,162.56,5.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,Red
1938,Dong Hyun Kim,Joshua Burkman,Men's,Welterweight,2015,33.0,35.0,Southpaw,Orthodox,170.0,170.0,193.04,182.88,10.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,2.0,Red
1939,Uriah Hall,Rafael Natal,Men's,Middleweight,2015,30.0,32.0,Orthodox,Orthodox,185.0,185.0,200.66,193.04,3.0,7.0,2.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,3.0,Blue
1940,Mike Pyle,Colby Covington,Men's,Welterweight,2015,39.0,27.0,Orthodox,Orthodox,170.0,170.0,187.96,182.88,9.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,Blue
1941,Islam Makhachev,Leo Kuntz,Men's,Lightweight,2015,23.0,31.0,Orthodox,Orthodox,155.0,155.0,177.8,187.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red
1942,Justin Scoggins,Joshua Sampo,Men's,Flyweight,2015,23.0,30.0,Southpaw,Orthodox,125.0,125.0,167.64,162.56,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,Red
1943,Frankie Edgar,Urijah Faber,Men's,Featherweight,2015,33.0,36.0,Orthodox,Orthodox,145.0,135.0,172.72,170.18,12.0,8.0,5.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,4.0,Red
1944,Gegard Mousasi,Costas Philippou,Men's,Middleweight,2015,29.0,35.0,Orthodox,Orthodox,185.0,185.0,193.04,185.42,3.0,6.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,Red
1945,Mark Munoz,Luke Barnatt,Men's,Middleweight,2015,37.0,27.0,Orthodox,Orthodox,185.0,185.0,182.88,195.58,8.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,Red
1946,Hyun Gyu Lim,Neil Magny,Men's,Welterweight,2015,30.0,27.0,Orthodox,Orthodox,170.0,170.0,195.58,203.2,3.0,7.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,6.0,Blue
1947,Phillipe Nover,Yui Chul Nam,Men's,Featherweight,2015,31.0,33.0,Orthodox,Orthodox,145.0,145.0,182.88,175.26,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,Red
1948,Mark Eddiva,Levan Makashvili,Men's,Featherweight,2015,29.0,26.0,Orthodox,Orthodox,145.0,145.0,172.72,172.72,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Blue
1949,Tae Hyun Bang,Jon Tuck,Men's,Lightweight,2015,32.0,30.0,Switch,Orthodox,155.0,155.0,180.34,185.42,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,Blue
1950,Zhang Lipeng,Kajan Johnson,Men's,Lightweight,2015,25.0,31.0,Southpaw,Orthodox,155.0,155.0,180.34,190.5,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,Blue
1951,Li Jingliang,Dhiego Lima,Men's,Welterweight,2015,27.0,26.0,Orthodox,Orthodox,170.0,170.0,180.34,187.96,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Red
1952,Ning Guangyou,Royston Wee,Men's,Bantamweight,2015,33.0,28.0,Southpaw,Orthodox,145.0,135.0,162.56,170.18,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,Red
1953,Roldan Sangcha-an,Jon Delos Reyes,Men's,Flyweight,2015,24.0,27.0,Orthodox,Orthodox,125.0,125.0,165.1,170.18,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Blue
1954,Nolan Ticman,Yao Zhikui,Men's,Flyweight,2015,26.0,24.0,Orthodox,Orthodox,125.0,125.0,175.26,162.56,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Blue
1955,Stipe Miocic,Mark Hunt,Men's,Heavyweight,2015,32.0,41.0,Orthodox,Orthodox,240.0,265.0,203.2,182.88,6.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,Red
1956,Brad Tavares,Robert Whittaker,Men's,Middleweight,2015,27.0,24.0,Orthodox,Orthodox,185.0,185.0,187.96,185.42,8.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,2.0,Blue
1957,Anthony Perosh,Sean O'Connell,Men's,Light Heavyweight,2015,42.0,31.0,Orthodox,Orthodox,205.0,205.0,190.5,187.96,5.0,1.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,Blue
1958,Jake Matthews,James Vick,Men's,Lightweight,2015,20.0,28.0,Orthodox,Orthodox,170.0,155.0,185.42,193.04,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,Blue
1959,Hatsu Hioki,Dan Hooker,Men's,Featherweight,2015,31.0,25.0,Orthodox,Switch,145.0,155.0,177.8,190.5,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,Blue
1960,Kyle Noke,Jonavin Webb,Men's,Welterweight,2015,35.0,26.0,Southpaw,Orthodox,170.0,170.0,193.04,180.34,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,Red
1961,Daniel Kelly,Sam Alvey,Men's,Middleweight,2015,37.0,29.0,Southpaw,Southpaw,185.0,205.0,177.8,190.5,2.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,Blue
1965,Vik Grujic,Brendan O'Reilly,Men's,Welterweight,2015,38.0,27.0,Orthodox,Orthodox,170.0,170.0,185.42,175.26,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Blue
1966,Alptekin Ozkilic,Ben Nguyen,Men's,Flyweight,2015,29.0,26.0,Orthodox,Switch,125.0,125.0,165.1,165.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,Blue
1967,Demetrious Johnson,Kyoji Horiguchi,Men's,Flyweight,2015,28.0,24.0,Orthodox,Orthodox,125.0,125.0,167.64,167.64,9.0,4.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,7.0,4.0,Red
1968,Rampage Jackson,Fabio Maldonado,Men's,Catch Weight,2015,36.0,35.0,Orthodox,Orthodox,205.0,205.0,185.42,190.5,7.0,5.0,5.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,Red
1969,Michael Bisping,CB Dollaway,Men's,Middleweight,2015,36.0,31.0,Orthodox,Orthodox,185.0,185.0,190.5,193.04,15.0,9.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,Red
1970,John Makdessi,Shane Campbell,Men's,Catch Weight,2015,29.0,28.0,Orthodox,Orthodox,155.0,155.0,172.72,180.34,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,Red
1971,Yves Jabouin,Thomas Almeida,Men's,Bantamweight,2015,35.0,23.0,Orthodox,Southpaw,135.0,135.0,172.72,177.8,5.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,Blue
1972,Patrick Cote,Joe Riggs,Men's,Welterweight,2015,35.0,32.0,Orthodox,Southpaw,170.0,185.0,180.34,177.8,7.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,Red
1973,Alexis Davis,Sarah Kaufman,Women's,Women's Bantamweight,2015,30.0,29.0,Orthodox,Orthodox,125.0,135.0,172.72,170.18,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,Red
1974,Chad Laprise,Bryan Barberena,Men's,Lightweight,2015,28.0,25.0,Orthodox,Southpaw,170.0,170.0,180.34,182.88,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,Red
1975,Olivier Aubin-Mercier,David Michaud,Men's,Lightweight,2015,26.0,26.0,Southpaw,Orthodox,155.0,155.0,177.8,182.88,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Red
1976,Nordine Taleb,Chris Clements,Men's,Welterweight,2015,33.0,39.0,Orthodox,Orthodox,170.0,170.0,187.96,177.8,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,Red
1977,Jessica Rakoczy,Valerie Letourneau,Women's,Women's Strawweight,2015,38.0,31.0,Orthodox,Orthodox,115.0,115.0,172.72,172.72,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Blue
1979,Lyoto Machida,Luke Rockhold,Men's,Middleweight,2015,36.0,30.0,Southpaw,Southpaw,185.0,185.0,187.96,195.58,14.0,3.0,5.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,8.0,3.0,Blue
1980,Jacare Souza,Chris Camozzi,Men's,Middleweight,2015,35.0,28.0,Orthodox,Orthodox,185.0,185.0,182.88,193.04,4.0,6.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,Red
1981,Cub Swanson,Max Holloway,Men's,Featherweight,2015,31.0,23.0,Orthodox,Orthodox,145.0,155.0,177.8,175.26,6.0,8.0,2.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0,5.0,Blue
1982,Felice Herrig,Paige VanZant,Women's,Women's Strawweight,2015,30.0,21.0,Orthodox,Orthodox,115.0,115.0,165.1,165.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Blue
1983,Jim Miller,Beneil Dariush,Men's,Lightweight,2015,31.0,25.0,Southpaw,Southpaw,155.0,155.0,180.34,182.88,13.0,4.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,7.0,3.0,Blue
1984,Ovince Saint Preux,Patrick Cummins,Men's,Light Heavyweight,2015,32.0,34.0,Southpaw,Orthodox,205.0,205.0,203.2,193.04,5.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,Red
1985,Corey Anderson,Gian Villante,Men's,Light Heavyweight,2015,25.0,29.0,Orthodox,Orthodox,205.0,205.0,200.66,193.04,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,Blue
1986,Takeya Mizugaki,Aljamain Sterling,Men's,Bantamweight,2015,31.0,25.0,Orthodox,Orthodox,135.0,135.0,172.72,180.34,7.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,2.0,Blue
1987,George Sullivan,Tim Means,Men's,Welterweight,2015,34.0,31.0,Orthodox,Orthodox,170.0,170.0,185.42,190.5,2.0,5.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,Blue
1988,Diego Brandao,Jimy Hettes,Men's,Featherweight,2015,27.0,27.0,Orthodox,Southpaw,145.0,145.0,172.72,180.34,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,Red
1989,Eddie Gordon,Chris Dempsey,Men's,Middleweight,2015,31.0,27.0,Orthodox,Orthodox,185.0,185.0,193.04,182.88,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Blue
1990,Gabriel Gonzaga,Mirko Cro Cop,Men's,Heavyweight,2015,35.0,40.0,Orthodox,Southpaw,242.0,230.0,193.04,185.42,11.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,Blue
1991,Jimi Manuwa,Jan Blachowicz,Men's,Light Heavyweight,2015,35.0,32.0,Orthodox,Orthodox,205.0,205.0,200.66,198.12,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,Red
1992,Pawel Pawlak,Sheldon Westcott,Men's,Welterweight,2015,26.0,30.0,Orthodox,Southpaw,170.0,170.0,185.42,180.34,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Red
1993,Joanne Calderwood,Maryna Moroz,Women's,Women's Strawweight,2015,29.0,23.0,Orthodox,Orthodox,125.0,125.0,165.1,170.18,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Blue
1994,Seth Baczynski,Leon Edwards,Men's,Welterweight,2015,33.0,23.0,Orthodox,Southpaw,170.0,170.0,187.96,187.96,5.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,Blue
1995,Bartosz Fabinski,Garreth McLellan,Men's,Middleweight,2015,28.0,32.0,Orthodox,Southpaw,170.0,185.0,190.5,182.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red
1996,Sergio Moraes,Mickael Lebout,Men's,Welterweight,2015,32.0,27.0,Orthodox,Orthodox,170.0,155.0,182.88,185.42,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,Red
1997,Damian Stasiak,Yaotzin Meza,Men's,Featherweight,2015,25.0,34.0,Orthodox,Orthodox,135.0,145.0,177.8,187.96,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,Blue
1998,Daniel Omielanczuk,Anthony Hamilton,Men's,Heavyweight,2015,32.0,34.0,Southpaw,Orthodox,247.0,260.0,187.96,193.04,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Blue
2000,Marcin Bandel,Stevie Ray,Men's,Lightweight,2015,25.0,25.0,Orthodox,Southpaw,155.0,155.0,177.8,177.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Blue
2001,Taylor Lapilus,Rocky Lee,Men's,Featherweight,2015,23.0,28.0,Southpaw,Orthodox,135.0,145.0,185.42,172.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red
2002,Chad Mendes,Ricardo Lamas,Men's,Featherweight,2015,29.0,32.0,Orthodox,Orthodox,145.0,145.0,167.64,180.34,7.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,4.0,Red
2003,Jorge Masvidal,Al Iaquinta,Men's,Lightweight,2015,30.0,27.0,Orthodox,Orthodox,170.0,155.0,187.96,177.8,5.0,6.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,Blue
2004,Michael Chiesa,Mitch Clarke,Men's,Lightweight,2015,27.0,29.0,Southpaw,Orthodox,170.0,155.0,190.5,185.42,4.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,Red
2006,Clay Guida,Robert Peralta,Men's,Featherweight,2015,33.0,29.0,Orthodox,Orthodox,155.0,145.0,177.8,180.34,11.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,Red
2007,Dustin Poirier,Diego Ferreira,Men's,Lightweight,2015,26.0,30.0,Southpaw,Orthodox,155.0,155.0,182.88,187.96,8.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,Red
2008,Liz Carmouche,Lauren Murphy,Women's,Women's Bantamweight,2015,31.0,31.0,Orthodox,Orthodox,125.0,125.0,167.64,170.18,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,Red
2009,Gray Maynard,Alexander Yakovlev,Men's,Lightweight,2015,35.0,30.0,Orthodox,Southpaw,155.0,155.0,177.8,187.96,9.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,8.0,0.0,Blue
2010,Shamil Abdurakhimov,Tim Johnson,Men's,Heavyweight,2015,33.0,30.0,Orthodox,Southpaw,235.0,265.0,193.04,195.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blue
2011,Ron Stallings,Justin Jones,Men's,Middleweight,2015,32.0,27.0,Southpaw,Orthodox,170.0,185.0,190.5,198.12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Red
2012,Demian Maia,Ryan LaFlare,Men's,Welterweight,2015,37.0,31.0,Southpaw,Southpaw,170.0,170.0,182.88,187.96,13.0,4.0,6.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,4.0,Red
2013,Erick Silva,Josh Koscheck,Men's,Welterweight,2015,30.0,37.0,Orthodox,Orthodox,170.0,170.0,187.96,185.42,5.0,15.0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,5.0,Red
2014,Leonardo Santos,Anthony Rocco Martin,Men's,Lightweight,2015,35.0,25.0,Orthodox,Orthodox,155.0,170.0,190.5,185.42,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Red
2015,Amanda Nunes,Shayna Baszler,Women's,Women's Bantamweight,2015,26.0,34.0,Orthodox,Orthodox,145.0,135.0,175.26,170.18,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,Red
2016,Gilbert Burns,Alex Oliveira,Men's,Lightweight,2015,28.0,27.0,Orthodox,Orthodox,155.0,170.0,180.34,193.04,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,Red
2017,Godofredo Pepey,Andre Fili,Men's,Featherweight,2015,27.0,24.0,Orthodox,Orthodox,145.0,145.0,185.42,187.96,3.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,Red
2018,Francisco Trinaldo,Akbarh Arreola,Men's,Lightweight,2015,36.0,32.0,Southpaw,Southpaw,155.0,155.0,177.8,180.34,5.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,Red
2019,Kevin Souza,Katsunori Kikuno,Men's,Featherweight,2015,30.0,33.0,Orthodox,Orthodox,145.0,145.0,187.96,167.64,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,Red
2020,Leandro Silva,Drew Dober,Men's,Lightweight,2015,29.0,26.0,Orthodox,Southpaw,155.0,155.0,182.88,177.8,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Draw
2021,Leonardo Mafra,Cain Carrizosa,Men's,Lightweight,2015,25.0,28.0,Orthodox,Orthodox,155.0,155.0,177.8,187.96,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Red
2022,Jorge de Oliveira,Christos Giagos,Men's,Lightweight,2015,35.0,25.0,Orthodox,Orthodox,155.0,155.0,180.34,180.34,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Blue
2023,Bentley Syler,Fredy Serrano,Men's,Flyweight,2015,32.0,35.0,Orthodox,Orthodox,125.0,125.0,172.72,165.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blue
2024,Anthony Pettis,Rafael Dos Anjos,Men's,Lightweight,2015,28.0,30.0,Orthodox,Southpaw,170.0,170.0,182.88,177.8,5.0,12.0,1.0,5.0,0.0,0.0,5.0,3.0,0.0,0.0,5.0,5.0,Blue
2026,Johny Hendricks,Matt Brown,Men's,Welterweight,2015,31.0,34.0,Southpaw,Orthodox,185.0,170.0,175.26,190.5,11.0,12.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,Red
2027,Roy Nelson,Alistair Overeem,Men's,Heavyweight,2015,38.0,34.0,Orthodox,Orthodox,263.0,265.0,182.88,203.2,7.0,3.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,Blue
2028,Chris Cariaso,Henry Cejudo,Men's,Flyweight,2015,33.0,28.0,Southpaw,Orthodox,125.0,135.0,160.02,162.56,7.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,Blue
2029,Ross Pearson,Sam Stout,Men's,Lightweight,2015,30.0,30.0,Orthodox,Orthodox,155.0,155.0,175.26,177.8,8.0,9.0,6.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,Red
2030,Elias Theodorou,Roger Narvaez,Men's,Middleweight,2015,26.0,31.0,Orthodox,Southpaw,185.0,185.0,190.5,200.66,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,Red
2031,Daron Cruickshank,Beneil Dariush,Men's,Lightweight,2015,29.0,25.0,Switch,Southpaw,155.0,155.0,182.88,182.88,6.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,Blue
2032,Jared Rosholt,Josh Copeland,Men's,Heavyweight,2015,28.0,32.0,Orthodox,Orthodox,265.0,265.0,190.5,190.5,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,Red
2033,Sergio Pettis,Ryan Benoit,Men's,Flyweight,2015,21.0,25.0,Orthodox,Orthodox,135.0,125.0,175.26,172.72,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,Blue
2034,Jake Lindsey,Joe Duffy,Men's,Lightweight,2015,28.0,27.0,Switch,Orthodox,155.0,155.0,180.34,185.42,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Blue
2035,Larissa Pacheco,Germaine de Randamie,Women's,Women's Bantamweight,2015,20.0,30.0,Orthodox,Orthodox,135.0,135.0,175.26,180.34,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Blue
2036,Ronda Rousey,Cat Zingano,Women's,Women's Bantamweight,2015,28.0,32.0,Orthodox,Southpaw,135.0,145.0,172.72,172.72,4.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,2.0,Red
2037,Raquel Pennington,Holly Holm,Women's,Women's Bantamweight,2015,26.0,33.0,Orthodox,Southpaw,135.0,145.0,170.18,175.26,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Blue
2038,Jake Ellenberger,Josh Koscheck,Men's,Welterweight,2015,29.0,37.0,Orthodox,Orthodox,170.0,170.0,180.34,185.42,8.0,15.0,5.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,5.0,Red
2040,Tony Ferguson,Gleison Tibau,Men's,Lightweight,2015,31.0,31.0,Orthodox,Southpaw,155.0,155.0,193.04,180.34,7.0,16.0,1.0,8.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,3.0,Red
2041,Mark Munoz,Roan Carneiro,Men's,Middleweight,2015,37.0,36.0,Orthodox,Orthodox,185.0,170.0,182.88,187.96,8.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,Blue
2042,Roman Salazar,Norifumi Yamamoto,Men's,Bantamweight,2015,27.0,37.0,Orthodox,Southpaw,135.0,135.0,170.18,167.64,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Draw
2043,Dhiego Lima,Tim Means,Men's,Welterweight,2015,26.0,31.0,Orthodox,Orthodox,170.0,170.0,187.96,190.5,1.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,Blue
2044,Derrick Lewis,Ruan Potts,Men's,Heavyweight,2015,30.0,37.0,Orthodox,Orthodox,260.0,247.0,200.66,190.5,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,Red
2045,James Krause,Valmir Lazaro,Men's,Lightweight,2015,28.0,29.0,Orthodox,Orthodox,170.0,155.0,185.42,185.42,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Blue
2046,Masio Fullen,Alex Torres,Men's,Featherweight,2015,28.0,26.0,Orthodox,Orthodox,145.0,145.0,177.8,177.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red
2047,Antonio Silva,Frank Mir,Men's,Heavyweight,2015,35.0,35.0,Orthodox,Southpaw,264.0,264.0,203.2,200.66,2.0,14.0,4.0,9.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,4.0,Blue
2048,Edson Barboza,Michael Johnson,Men's,Lightweight,2015,29.0,28.0,Orthodox,Southpaw,155.0,145.0,190.5,185.42,9.0,7.0,2.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,3.0,Blue
2049,Cezar Ferreira,Sam Alvey,Men's,Middleweight,2015,30.0,28.0,Southpaw,Southpaw,185.0,205.0,198.12,190.5,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,Blue
2050,Rustam Khabilov,Adriano Martins,Men's,Lightweight,2015,28.0,32.0,Orthodox,Southpaw,155.0,155.0,185.42,182.88,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,Blue
2051,Iuri Alcantara,Frankie Saenz,Men's,Bantamweight,2015,34.0,34.0,Southpaw,Orthodox,135.0,135.0,180.34,167.64,6.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,Blue
2052,Santiago Ponzinibbio,Sean Strickland,Men's,Welterweight,2015,28.0,23.0,Orthodox,Orthodox,170.0,170.0,185.42,193.04,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,Red
2053,Jessica Andrade,Marion Reneau,Women's,Women's Bantamweight,2015,23.0,37.0,Orthodox,Orthodox,115.0,135.0,157.48,172.72,3.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,Blue
2054,William Patolino,Matt Dwyer,Men's,Welterweight,2015,23.0,25.0,Orthodox,Orthodox,170.0,170.0,190.5,193.04,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Blue
