,R_fighter,B_fighter,gender,weight_class,year,R_age,B_age,R_Stance,B_Stance,R_Weight_lbs,B_Weight_lbs,R_Reach_cms,B_Reach_cms,R_wins,B_wins,R_losses,B_losses,R_draw,B_draw,R_current_win_streak,B_current_win_streak,R_current_lose_streak,B_current_lose_streak,R_longest_win_streak,B_longest_win_streak,Winner
36,Zak Cummings,Trevin Giles,Men's,Middleweight,2019,34.0,26.0,Southpaw,Orthodox,185.0,185.0,190.5,187.96,7.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,Red
37,Julio Arce,Julian Erosa,Men's,Featherweight,2019,29.0,29.0,Southpaw,Southpaw,145.0,145.0,177.8,187.96,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,Red
38,Rose Namajunas,Jessica Andrade,Women's,Women's Strawweight,2019,26.0,27.0,Orthodox,Orthodox,115.0,115.0,165.1,157.48,6.0,10.0,2.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,Blue
39,Jared Cannonier,Anderson Silva,Men's,Middleweight,2019,35.0,44.0,Switch,Southpaw,185.0,185.0,195.58,195.58,4.0,17.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,16.0,Red
40,Jose Aldo,Alexander Volkanovski,Men's,Featherweight,2019,32.0,30.0,Orthodox,Orthodox,145.0,145.0,177.8,180.34,10.0,6.0,3.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,7.0,6.0,Blue
41,Thiago Alves,Laureano Staropoli,Men's,Welterweight,2019,35.0,26.0,Orthodox,Orthodox,170.0,170.0,177.8,180.34,15.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,Blue
42,Irene Aldana,Bethe Correia,Women's,Women's Bantamweight,2019,31.0,35.0,Orthodox,Orthodox,135.0,135.0,172.72,162.56,2.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,Red
43,Rogerio Nogueira,Ryan Spann,Men's,Light Heavyweight,2019,42.0,27.0,Southpaw,Orthodox,205.0,205.0,190.5,200.66,6.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,Blue
44,Thiago Moises,Kurt Holobaugh,Men's,Lightweight,2019,24.0,32.0,Orthodox,Orthodox,155.0,155.0,177.8,177.8,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,Red
45,Warlley Alves,Sergio Moraes,Men's,Welterweight,2019,28.0,36.0,Orthodox,Orthodox,170.0,170.0,182.88,182.88,6.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,Red
